Date,Date_YMD,Status,Confirmed,CCumulative, Deceased,DCumulative
16-Apr-20,4/16/2020,Confirmed,0,60,0,1
17-Apr-20,4/17/2020,Confirmed,0,60,0,1
18-Apr-20,4/18/2020,Confirmed,1,61,0,1
19-Apr-20,4/19/2020,Confirmed,0,61,0,1
20-Apr-20,4/20/2020,Confirmed,13,74,0,1
21-Apr-20,4/21/2020,Confirmed,5,79,0,1
22-Apr-20,4/22/2020,Confirmed,4,83,0,1
23-Apr-20,4/23/2020,Confirmed,6,89,0,1
24-Apr-20,4/24/2020,Confirmed,5,94,0,1
25-Apr-20,4/25/2020,Confirmed,6,100,0,1
26-Apr-20,4/26/2020,Confirmed,3,103,0,1
27-Apr-20,4/27/2020,Confirmed,15,118,0,1
28-Apr-20,4/28/2020,Confirmed,0,118,0,1
29-Apr-20,4/29/2020,Confirmed,7,125,0,1
30-Apr-20,4/30/2020,Confirmed,18,143,0,1
1-May-20,5/1/2020,Confirmed,11,154,0,1
2-May-20,5/2/2020,Confirmed,6,160,0,1
3-May-20,5/3/2020,Confirmed,2,162,0,1
4-May-20,5/4/2020,Confirmed,7,169,0,1
5-May-20,5/5/2020,Confirmed,8,177,1,2
6-May-20,5/6/2020,Confirmed,28,205,0,2
7-May-20,5/7/2020,Confirmed,14,219,0,2
8-May-20,5/8/2020,Confirmed,51,270,0,2
9-May-20,5/9/2020,Confirmed,82,352,1,3
10-May-20,5/10/2020,Confirmed,25,377,0,3
11-May-20,5/11/2020,Confirmed,38,415,0,3
12-May-20,5/12/2020,Confirmed,22,437,0,3
13-May-20,5/13/2020,Confirmed,101,538,0,3
14-May-20,5/14/2020,Confirmed,134,672,0,3
15-May-20,5/15/2020,Confirmed,65,737,0,3
16-May-20,5/16/2020,Confirmed,0,737,0,3
17-May-20,5/17/2020,Confirmed,91,828,1,4
18-May-20,5/18/2020,Confirmed,48,876,0,4
19-May-20,5/19/2020,Confirmed,102,978,1,5
20-May-20,5/20/2020,Confirmed,74,1052,1,6
21-May-20,5/21/2020,Confirmed,51,1103,1,7
22-May-20,5/22/2020,Confirmed,86,1189,0,7
23-May-20,5/23/2020,Confirmed,80,1269,0,7
24-May-20,5/24/2020,Confirmed,67,1336,0,7
25-May-20,5/25/2020,Confirmed,102,1438,0,7
26-May-20,5/26/2020,Confirmed,79,1517,0,7
27-May-20,5/27/2020,Confirmed,76,1593,0,7
28-May-20,5/28/2020,Confirmed,67,1660,0,7
29-May-20,5/29/2020,Confirmed,63,1723,2,9
30-May-20,5/30/2020,Confirmed,96,1819,0,9
31-May-20,5/31/2020,Confirmed,129,1948,0,9
1-Jun-20,6/1/2020,Confirmed,156,2104,0,9
2-Jun-20,6/2/2020,Confirmed,141,2245,0,9
3-Jun-20,6/3/2020,Confirmed,143,2388,0,9
4-Jun-20,6/4/2020,Confirmed,90,2478,0,9
5-Jun-20,6/5/2020,Confirmed,130,2608,1,10
6-Jun-20,6/6/2020,Confirmed,173,2781,0,10
7-Jun-20,6/7/2020,Confirmed,75,2856,1,11
8-Jun-20,6/8/2020,Confirmed,138,2994,0,11
9-Jun-20,6/9/2020,Confirmed,146,3140,0,11
10-Jun-20,6/10/2020,Confirmed,110,3250,0,11
11-Jun-20,6/11/2020,Confirmed,136,3386,1,12
12-Jun-20,6/12/2020,Confirmed,112,3498,1,13
13-Jun-20,6/13/2020,Confirmed,225,3723,0,13
14-Jun-20,6/14/2020,Confirmed,186,3909,1,14
15-Jun-20,6/15/2020,Confirmed,146,4055,0,14
16-Jun-20,6/16/2020,Confirmed,108,4163,0,14
17-Jun-20,6/17/2020,Confirmed,175,4338,0,14
18-Jun-20,6/18/2020,Confirmed,174,4512,0,14
19-Jun-20,6/19/2020,Confirmed,165,4677,0,14
20-Jun-20,6/20/2020,Confirmed,179,4856,1,15
21-Jun-20,6/21/2020,Confirmed,304,5160,4,19
22-Jun-20,6/22/2020,Confirmed,143,5303,2,21
23-Jun-20,6/23/2020,Confirmed,167,5470,3,24
24-Jun-20,6/24/2020,Confirmed,282,5752,0,24
25-Jun-20,6/25/2020,Confirmed,210,5962,0,24
26-Jun-20,6/26/2020,Confirmed,218,6180,0,24
27-Jun-20,6/27/2020,Confirmed,170,6350,1,25
28-Jun-20,6/28/2020,Confirmed,264,6614,3,28
29-Jun-20,6/29/2020,Confirmed,245,6859,2,30
30-Jun-20,6/30/2020,Confirmed,206,7065,2,32
1-Jul-20,7/1/2020,Confirmed,251,7316,1,33
2-Jul-20,7/2/2020,Confirmed,229,7545,2,35
3-Jul-20,7/3/2020,Confirmed,561,8106,2,37
4-Jul-20,7/4/2020,Confirmed,495,8601,6,43
5-Jul-20,7/5/2020,Confirmed,469,9070,3,46
6-Jul-20,7/6/2020,Confirmed,456,9526,2,48
7-Jul-20,7/7/2020,Confirmed,571,10097,6,54
8-Jul-20,7/8/2020,Confirmed,527,10624,7,61
